,geometry,value
48,"LINESTRING (-122.2970572 37.8119957, -122.2965975 37.8125822, -122.2965376 37.8126586)",1
49,"LINESTRING (-122.2983298 37.8126378, -122.2978748 37.8124082, -122.2977627 37.8123516, -122.2974733 37.8122056, -122.2970572 37.8119957)",1
50,"LINESTRING (-122.2983298 37.8126378, -122.2978665 37.8132212, -122.2978092 37.8132933)",1
51,"LINESTRING (-122.2983298 37.8126378, -122.2983465 37.8126172, -122.2988581 37.811986, -122.2989602 37.8118599)",1
52,"LINESTRING (-122.3022387 37.8210304, -122.3023326 37.8209417, -122.3023754 37.8208994, -122.3028421 37.820457, -122.3031317 37.8201826, -122.3034603 37.8198714, -122.3038338 37.8195176, -122.3043654 37.8190138, -122.3044207 37.8189614, -122.3044696 37.818915, -122.3050276 37.8183879)",1
53,"LINESTRING (-122.3022387 37.8210304, -122.3021097 37.8211432, -122.3016915 37.8215248, -122.3013111 37.8218633, -122.3008476 37.8223255)",1
54,"LINESTRING (-122.3022387 37.8210304, -122.3023903 37.8211394, -122.3032367 37.8217482, -122.3034088 37.8219395, -122.3034674 37.8220046, -122.3040869 37.8230286, -122.3043092 37.8234223)",1
55,"LINESTRING (-122.3022387 37.8210304, -122.3020855 37.8209362, -122.3015518 37.8206067, -122.3014328 37.8205333, -122.3005316 37.8199337, -122.3004246 37.8199082, -122.3003089 37.8198807, -122.3000193 37.8198659, -122.2997669 37.8199106, -122.299361 37.820023, -122.2988741 37.8201329)",1
56,"LINESTRING (-122.2844186 37.8233231, -122.2842594 37.82352, -122.2841453 37.8236612, -122.2838617 37.8240114, -122.2838345 37.8240451, -122.2836466 37.8242864, -122.2836004 37.8243457)",1
57,"LINESTRING (-122.2844186 37.8233231, -122.2844704 37.8232574, -122.2846887 37.8229804)",1
58,"LINESTRING (-122.2849910719617 37.825, -122.2846556 37.8239208, -122.284613 37.8237926)",1
59,"LINESTRING (-122.2969963 37.8028694, -122.29589 37.8026144)",1
60,"LINESTRING (-122.2969963 37.8028694, -122.2965465 37.8040954, -122.2964477 37.8043647)",1
61,"LINESTRING (-122.2969963 37.8028694, -122.2973471 37.8029473, -122.2980404 37.8031011)",1
62,"LINESTRING (-122.2964477 37.8043647, -122.2974992 37.8045935)",1
63,"LINESTRING (-122.2964477 37.8043647, -122.2965465 37.8040954, -122.2969963 37.8028694)",1
64,"LINESTRING (-122.2964477 37.8043647, -122.2962765 37.8048625, -122.2960773 37.8054249, -122.2960628 37.8054647, -122.296024 37.805571)",1
65,"LINESTRING (-122.2964477 37.8043647, -122.2957943 37.8042165, -122.2953638 37.8041136)",1
66,"LINESTRING (-122.296024 37.805571, -122.2960628 37.8054647, -122.2960773 37.8054249, -122.2962765 37.8048625, -122.2964477 37.8043647)",1
67,"LINESTRING (-122.296024 37.805571, -122.295984 37.8056949, -122.2959501 37.8057999, -122.2956952 37.8065078, -122.2956437 37.8066133)",1
68,"LINESTRING (-122.296024 37.805571, -122.2959368 37.8055258, -122.295586 37.8054491, -122.2952854 37.8053833, -122.2950286 37.8053259, -122.2949442 37.8053057)",1
69,"LINESTRING (-122.296024 37.805571, -122.296141 37.8055964, -122.2963627 37.8056444, -122.2967149 37.8057197, -122.2967759 37.8057328, -122.2970636 37.8057943)",1
70,"LINESTRING (-122.2956437 37.8066133, -122.2966827 37.806845)",1
71,"LINESTRING (-122.2956437 37.8066133, -122.2945685 37.806368)",1
72,"LINESTRING (-122.2956437 37.8066133, -122.2953393 37.8074394)",1
73,"LINESTRING (-122.2956437 37.8066133, -122.2956952 37.8065078, -122.2959501 37.8057999, -122.295984 37.8056949, -122.296024 37.805571)",1
74,"LINESTRING (-122.2944486 37.8098767, -122.2940823 37.8097951)",1
75,"LINESTRING (-122.2944486 37.8098767, -122.2953393 37.8074394)",1
76,"LINESTRING (-122.2944486 37.8098767, -122.2949288 37.8099853, -122.2950413 37.8100107)",1
77,"LINESTRING (-122.2908297974914 37.825, -122.2906888 37.8245614)",1
78,"LINESTRING (-122.2908297 37.808833, -122.2909343 37.8088596)",1
79,"LINESTRING (-122.2908297 37.808833, -122.2902871 37.8104022, -122.290245 37.810518)",1
80,"LINESTRING (-122.2908297 37.808833, -122.2902213 37.8086917, -122.2899633 37.8086317, -122.2899097 37.8085978, -122.2898963 37.8085448, -122.2903335 37.8073369)",1
